location,npc,text,condition,weight
pantry,ahua,"阿花一边给{player_name}泡咖啡一边小声嘀咕「听说今天有人要倒霉哦」,咖啡机喷出了一团黑雾",negative,1.0
pantry,laowang,"老王正在用同事的杯子喝咖啡,看见{player_name}进来后慢悠悠地擦了擦杯口,放回了原处",negative,1.0
pantry,xiaoli,"小李在茶水间假装系鞋带,其实在偷听{player_name}和别人的对话",negative,1.0
pantry,player,"{player_name}打开冰箱发现自己的午饭少了半盒,而某人嘴边还挂着一根面条",negative,1.0
pantry,ahua,"阿花温柔地把最后一块饼干让给了{player_name},笑容甜得发齁",positive,0.5
pantry,dazhuang,"大壮在茶水间里一口闷掉了整罐蛋白粉,然后嗝出一声响彻全公司的咆哮,把{player_name}吓得手抖",neutral,1.0
reception,xiaoli,"小李对着前台的客户大声宣称是「自己一手促成」的合作,而合作合同上签字的明明是{player_name}",negative,1.0
reception,zhoujie,"周姐对着空气抱怨「现在的年轻人不懂规矩」,目光始终钉在{player_name}身上",negative,1.0
reception,player,"{player_name}在接待客户时,袖口不小心带翻了一摞印着「内部资料」的文件,纸张飞了一地",negative,1.0
reception,laowang,"老王正给前台的访客倒茶,茶壶突然漏了底,他把锅甩给了从他身边路过的{player_name}",negative,1.0
reception,ahua,"阿花在前台对一位老客户撒娇,客户当场签了一份溢价合同,她转头对{player_name}眨了眨眼",neutral,1.0
office,laowang,"老王正把发黑的手伸进废纸篓里翻找，不知是在捡他掉落的半只耳朵，还是在拼凑被销毁的财务报表碎件。这疑似收集销毁罪证的行为，被路过的{player_name}抓了个正着。",negative,1.0
office,laowang,"老王的电脑屏幕停留在“公司防御系统漏洞”的页面上，不知是他真的手滑点错了，还是在预谋什么网络破坏计划。这极其可疑的搜索记录恰好被{player_name}的余光扫到。",negative,1.0
office,laowang,"老王正慢吞吞地把一瓶不明腐蚀性液体往办公区的公共主机散热口倒，不知是在用偏方除尘，还是企图物理损毁核心数据。这疑似破坏公物的危险举动让{player_name}倒吸一口凉气。",negative,1.0
office,zhoujie,"周姐的机械眼正散发着高强度的扫描红光，直直照射在经理办公室门上的密码锁区域。不知是在校准光学镜片，还是在暗中记录密码指纹残留，这疑似破译高层安保的动作被{player_name}尽收眼底。",negative,1.0
office,zhoujie,"周姐正用机械钳从办公桌底下的隐蔽插座里拽出一根来历不明的数据线。不知是她在清理废线，还是在拆除某个窃听装置，这让人联想到卧底排雷的举动刚好被{player_name}撞见。",negative,1.0
office,zhoujie,"周姐桌上的预算表里夹着一张写有“高层撤离路线”的便签，不知是她做的安保规划，还是她为自己准备的跑路地图。这疑似准备炸毁公司前潜逃的物证，让经过的{player_name}心头一紧。",negative,1.0
office,ahua,"阿花的藤蔓正悄悄顺着天花板爬向火灾报警器，不知是为了修剪叶片，还是想提前破坏报警系统制造混乱。这疑似为恐怖袭击做准备的危险举动，让目击的{player_name}冷汗直冒。",negative,1.0
office,ahua,"阿花正微笑着把一些散发着荧光绿色的粉末洒进办公区的中央空调出风口，不知是某种特殊的植物香氛，还是致命的神经毒素。这疑似无差别投毒的行为被{player_name}抓了现行。",negative,1.0
office,ahua,"阿花的工位下掩藏着几张带有总局标志的空白档案袋，不知是她捡来的废纸，还是正在暗中整理同事的罪证。这极具调查员色彩的物品偏偏被捡笔的{player_name}看了个真切。",negative,1.0
office,xiaoli,"小李正鬼鬼祟祟地在打印机旁复印一张布满诡异代码的纸，不知是在打印乱码文件，还是在复制某份加密黑客工具。这疑似窃取或植入木马的行为，被去拿文件的{player_name}逮个正着。",negative,1.0
office,xiaoli,"小李的鼠尾巴正死死缠住办公区墙角的一块隔音板，不知是在磨牙，还是试图撬开墙壁寻找暗格。这种疑似搜查公司隐藏机密的动作，让刚好抬头的{player_name}起了疑心。",negative,1.0
office,xiaoli,"小李正捂着电话听筒压低声音汇报着“目标已确认”，不知是在和客户核对发票，还是在和某个神秘组织接头。这充满谍战色彩的对话让路过的{player_name}不自觉地放慢了脚步。",negative,1.0
office,dazhuang,"大壮正用蛮力把办公区那台防弹玻璃保险柜的门框捏得变形，不知他是想拿里面卡住的蛋白棒，还是企图强行窃取高层机密。这疑似暴力破坏安保的举动，把{player_name}吓得不敢出声。",negative,1.0
office,dazhuang,"大壮从嘴里吐出一块沾着口水的金属芯片，不知是他误食的电子垃圾，还是他企图销毁的某种微型追踪器。这疑似物理销毁间谍证据的野蛮操作，偏偏被经过的{player_name}看了个全场。",negative,1.0
office,dazhuang,"大壮的工位抽屉半开着，里面赫然躺着一根正在倒计时的雷管形状的物品，不知是某种奇葩包装的能量饮料，还是真的微型炸药。这疑似准备爆破办公区的画面让{player_name}瞳孔地震。",negative,1.0
office,player,"{player_name}正蹲在办公区废弃的通风管道口拿着手电筒乱晃，不知是在找丢失的钥匙，还是在勘察潜入路线。这极其经典的特工勘探行为，让刚好走过来的同事投来了极度怀疑的目光。",negative,1.0
office,player,"{player_name}的抽屉里滑落出一本封面上写着“高级审讯技巧”的旧书，不知是业余爱好的小说，还是真正的调查员工作手册。这种极具暴露风险的物品，被旁边探头探脑的同事看得一清二楚。",negative,1.0
office,player,"{player_name}正用指甲小心翼翼地刮去一份文件角落里的隐形水印，不知是强迫症发作，还是在抹除文件追踪标记。这种疑似专业反侦察的动作，恰好被对面的同事尽收眼底，一旦解释不清绝对要被敲诈！",negative,1.0
office,laowang,"老王把自己的半只假眼球抠下来摆在工位挡板上当“监工”，自己则缩在椅子下面肆无忌惮地打呼噜。这荒诞又惊悚的摸鱼奇招，正好碰上了准备过来对账的{player_name}。",neutral,1.0
office,laowang,"老王正用缓慢得令人发指的速度在键盘上“一指禅”打字，试图把一份五分钟能做完的报告拖延到下班。这令人窒息的磨洋工画面，让旁边等着要数据的{player_name}感到一阵无力。",neutral,1.0
office,zhoujie,"周姐正用机械臂强迫症般地把办公桌上的每一支笔都对齐到完美的九十度角，伴随着刺耳的齿轮摩擦声。这赛博洁癖发作的一幕，让碰巧路过想借订书机的{player_name}进退两难。",neutral,1.0
office,zhoujie,"周姐的电子眼因为系统后台强制更新，正疯狂闪烁着蓝屏符号，整个人僵在原位长达半分钟。这赛博宕机的诡异场面，正好被准备过来递交文件的{player_name}全程围观。",neutral,1.0
office,ahua,"阿花正对着一盆即将枯萎的绿植诉说公司里最新的狗血八卦，那植物吸收了怨气后竟然奇迹般地精神了起来。这诡异的跨物种交流，让站在一旁的{player_name}看傻了眼。",neutral,1.0
office,ahua,"阿花不小心把一杯混合着泥土味的特调咖啡洒在了桌面上，她立刻用藤蔓卷起一叠报表垫了上去吸水。这熟练的销毁事故现场动作，刚好和走近的{player_name}对上了视线。",neutral,1.0
office,xiaoli,"小李正对着一面小镜子疯狂练习“看到经理时最完美的谄媚笑容”，甚至不惜用鼠爪把自己的嘴角往上硬扯。这极度扭曲的职场面具练习，把刚回工位的{player_name}吓了一跳。",neutral,1.0
office,xiaoli,"小李在办公桌底下偷偷藏了半块别人吃剩的披萨，正像护食一样警惕地环顾四周，结果刚好和掉了一支笔正低头去捡的{player_name}四目相对，气氛大写的尴尬。",neutral,1.0
office,dazhuang,"大壮正试图把一份比砖头还厚的员工手册当成杠铃，在工位上吭哧吭哧地做单臂弯举。手册被捏得发出随时会散架的撕裂声，让旁边正试图集中注意力工作的{player_name}眼皮狂跳。",neutral,1.0
office,dazhuang,"大壮把整张大脸贴在发热的电脑主机上，试图用CPU运转的高温来加热一块冻得发硬的劣质蛋白棒。这离谱的“办公硬核烹饪法”，把正要开机的{player_name}直接看愣了。",neutral,1.0
office,player,"{player_name}正对着屏幕上一堆根本看不懂的公司缩写乱点鼠标，企图用高频率的点击声伪装成正在拼命努力工作的样子。这拙劣的职场摸鱼演技，恰好引起了隔壁同事侧目的眼神。",neutral,1.0
office,player,"{player_name}为了缓解被经理折磨的压力，正试图用两根曲别针和一个橡皮擦在桌面上搭建一个微型的防空避难所。这苦中作乐的摸鱼行为，被刚好转身的同事逮了个正着。",neutral,1.0
meeting,laowang,"老王在会议桌下悄悄按动一个黑色仪器的按钮，不知是在盲打会议纪要，还是在录音留存高层犯罪证据。这疑似窃听的举动被旁边的{player_name}敏锐地察觉到了。",negative,1.0
meeting,laowang,"老王借着关灯看投影的掩护，正把手伸向经理放在桌角的公文包，不知是想偷拿薄荷糖，还是企图窃取机密文件。这鬼祟的动作被{player_name}尽收眼底。",negative,1.0
meeting,laowang,"老王的眼球突然掉在了会议室角落的废纸篓旁，他一边去捡，一边死死盯着里面的碎纸片。这疑似借机搜集销毁证据的举动，让{player_name}瞬间起了疑心。",negative,1.0
meeting,laowang,"老王在冗长的会议中彻底睡死过去，发出的呼噜声像生锈的电锯，甚至把酸臭的口水滴在了旁边的“季度降本增效”报告上，这恶心的一幕正好被{player_name}看到。",neutral,0.5
meeting,laowang,"老王把自己的假牙摘下来放在会议桌上当镇纸，假牙还在无意识地开合，把想要递交文件的{player_name}恶心得头皮发麻。",neutral,0.5
meeting,zhoujie,"周姐正用机械瞳孔对准白板上的“裁员预估名单”进行高频闪烁，不知是在存储工作记录，还是在拷贝公司的非法勾当。这疑似窃取核心机密的一幕被{player_name}撞见。",negative,1.0
meeting,zhoujie,"周姐的机械手指突然插入了会议室的智能中控接口，屏幕闪过一丝乱码。不知是设备接触不良，还是她在植入监控木马，这危险的黑客举动引起了{player_name}的警觉。",negative,1.0
meeting,zhoujie,"周姐在会议期间把红外线指示笔直直对准了高管的后脑勺，不知是在比划PPT的位置，还是在进行某种致命武器的狙击瞄准。这毛骨悚然的画面让{player_name}冷汗直冒。",negative,1.0
meeting,zhoujie,"周姐因为会议内容太过愚蠢，导致逻辑处理器过载，头顶的散热栅栏突然喷出一股白烟，发出刺耳的警报声，把旁边的{player_name}吓得差点跳起来。",neutral,0.5
meeting,zhoujie,"周姐用极其暴躁的动作把会议室里所有歪斜的椅子全部用机械臂强行掰正，哪怕上面还坐着人。这赛博强迫症发作的场面让{player_name}大气都不敢喘。",neutral,0.5
meeting,ahua,"阿花借着给所有人倒水的机会，悄悄往经理的水杯里抖落了一点无色粉末。不知是无害的植物糖分，还是致命的吐真剂。这疑似下毒刺探情报的动作被{player_name}看了个真切。",negative,1.0
meeting,ahua,"阿花的藤蔓在会议桌下无声无息地缠绕上了正在播放机密PPT的电脑主机，不知是植物向光性的本能，还是企图物理窃取硬盘数据。这危险的一幕落在了{player_name}眼里。",negative,1.0
meeting,ahua,"阿花在会议室角落里假装补妆，但化妆盒的镜子反光却精准对准了别人手里的保密协议。这疑似利用光学反射偷窥机密的反侦察技巧，让{player_name}瞬间警惕起来。",negative,1.0
meeting,ahua,"阿花因为会议室的投影仪灯光太亮，竟然不由自主地开始进行光合作用，头顶长出了一朵颜色诡异的蘑菇，这荒诞的跨物种生理反应让{player_name}看傻了眼。",neutral,0.5
meeting,ahua,"阿花微笑着把会议室枯死的盆栽连根拔起，当成零食一口一口嚼了起来，一边嚼还一边鼓掌赞同经理的废话，这场面让身旁的{player_name}感到一阵胃部抽筋。",neutral,0.5
meeting,xiaoli,"小李正躲在会议桌底下假装捡笔，但他手里捏着的却是一个纽扣大小的黑色贴片。不知他是在抠桌底的口香糖，还是在安装微型窃听器。这疑似安放间谍设备的动作恰好被{player_name}发现。",negative,1.0
meeting,xiaoli,"小李在会议期间不停地用手指在桌面上敲击着某种极具规律的节奏，不知是紧张的无意识动作，还是在用摩斯密码向外传递会议内容。这谍战感十足的举动引起了{player_name}的怀疑。",negative,1.0
meeting,xiaoli,"小李趁着大家看大屏幕的空档，用手机快速扫过了桌上一份标有“绝密”的预算表，不知是在回消息还是在偷拍。这疑似窃取商业机密的举动让刚好转头的{player_name}抓了个正着。",negative,1.0
meeting,xiaoli,"小李为了在经理讲话时表现出绝对的捧场，把巴掌拍得震天响，甚至不小心把自己的鼠爪拍出了血。这极度扭曲的谄媚行为让坐在对面的{player_name}一阵无语。",neutral,0.5
meeting,xiaoli,"小李在会议记录本上疯狂做笔记，但{player_name}不小心瞥见，他本子上画的全是经理长着翅膀在撒金币的低幼涂鸦。",neutral,0.5
meeting,dazhuang,"大壮在经理展示安全漏洞PPT时，突然暴躁地一拳砸碎了桌上的智能录音笔。不知他是嫌弃这玩意儿长得像蛋白棒，还是在进行极其专业的反监听破坏。这疑似销毁证据的暴力行为把{player_name}吓坏了。",negative,1.0
meeting,dazhuang,"大壮正把会议室角落的一份保密销毁文件塞进嘴里大嚼特嚼，不知他是真的饿疯了，还是企图用肠胃物理销毁公司的罪证。这疑似卧底灭口的野蛮操作偏偏被{player_name}撞见。",negative,1.0
meeting,dazhuang,"大壮盯着会议室天花板上的烟雾报警器看了一会儿，然后默默把一卷绝缘胶带藏在了背后。不知他是想修补天花板，还是企图屏蔽报警系统制造混乱。这充满威胁的举动让{player_name}冷汗直冒。",negative,1.0
meeting,dazhuang,"大壮在极其严肃的裁员会议上，掏出一个便携式搅拌机开始疯狂打碎生肉和蛋白粉，震耳欲聋的噪音把正在做记录的{player_name}震得耳朵嗡嗡作响。",neutral,0.5
meeting,dazhuang,"大壮由于听不懂任何会议内容，正无聊地把一根实心钢筋弯成各种小动物的形状，这离谱的暴力手工课让坐在旁边的{player_name}看得目瞪口呆。",neutral,0.5
meeting,player,"{player_name}在经理展示绝密报表时，手里的微型设备发出了轻微的“咔哒”声。不知是按动圆珠笔，还是摄像机的快门，这疑似卧底取证的失误，瞬间引来了旁边同事充满戒备的凝视。",negative,1.0
meeting,player,"{player_name}正把一个没有任何标签的U盘插进会议室的公共演示电脑，不知是为了播放下半场的PPT，还是企图植入木马下载核心数据。这极具黑客色彩的危险举动，恰好被同事尽收眼底。",negative,1.0
meeting,player,"{player_name}趁着会议室停电的几秒钟，迅速从桌子底下摸出了一份不属于自己的文件。不知是拿错了资料，还是在趁黑窃取机密。灯光亮起时，这鬼祟的一幕刚好撞上了同事的目光。",negative,1.0
meeting,player,"{player_name}为了防止自己在会议上睡着，正用两个巨大的长尾夹死死夹住自己的眼皮。这极其扭曲且猎奇的提神方式，把一转头的同事吓得差点尖叫出声。",neutral,0.5
meeting,player,"{player_name}在会议纪要的边缘画了一个正在上吊的火柴人，旁边还写着公司的名字。这充满了无力感和黑色幽默的底层社畜发泄，恰好被凑过来看进度的同事看个正着。",neutral,0.5
warehouse,laowang,"老王正把半个身子探进装满工业废料的危险品桶里，不知是在翻找别人扔掉的半截雪茄，还是在打捞被销毁的非法实验残骸。这疑似搜集致命罪证的举动，恰好被路过的{player_name}撞见。",negative,1.0
warehouse,laowang,"老王手里拿着一个防风打火机，在堆满易燃化学品的货架旁鬼鬼祟祟地比划。不知他是想借光找东西，还是企图纵火销毁整个仓库的黑账。这疑似预谋纵火的危险行为让{player_name}倒吸一口凉气。",negative,1.0
warehouse,laowang,"老王正用发黑的指甲把几个印着“严禁出库”的封条撕下来，贴在普通的废件箱上。不知他是无聊手欠，还是在暗中调包走私公司资产。这疑似监守自盗的举动被{player_name}看得一清二楚。",negative,1.0
warehouse,laowang,"老王拉开了一个装运尸袋的空箱子，像盖被子一样把自己严严实实地装了进去，甚至还从里面挂上了锁。这令人毛骨悚然的极致摸鱼法，让正准备来盘点的{player_name}头皮发麻。",neutral,0.5
warehouse,laowang,"老王正抓着一只长了三个脑袋的变异大老鼠，在嘴里津津有味地嚼着，甚至还问僵在原地的{player_name}要不要来点“特产肉干”。",neutral,0.5
warehouse,zhoujie,"周姐的机械眼正散发出高频紫光，扫过一批印着外文的神秘集装箱。不知是在进行例行扫码，还是在偷偷下载这批走私军火的明细单。这疑似窃取核心机密的一幕被{player_name}尽收眼底。",negative,1.0
warehouse,zhoujie,"周姐正用液压钳极其精准地捏碎了一批货箱上的GPS追踪芯片。不知是她嫌芯片碍事，还是在为不可告人的转移计划抹除行动轨迹。这专业的反追踪破坏动作引起了{player_name}的极度警觉。",negative,1.0
warehouse,zhoujie,"周姐的机械手指直接刺入了仓库的恒温控制台，屏幕上闪烁着红色的重写指令。不知她是在修空调，还是企图破坏温控系统毁掉那批需要冷藏的生化样本。这危险的黑客举动恰好落在了{player_name}眼里。",negative,1.0
warehouse,zhoujie,"周姐直接把充电缆线插进了仓库里那台大功率电动叉车，导致整个仓库的灯光因为电压不稳而疯狂闪烁，宛如恐怖片现场，把正在找货的{player_name}吓得不轻。",neutral,0.5
warehouse,zhoujie,"周姐赛博强迫症发作，正用极其恐怖的怪力把几十个重达百斤的铁箱子按照毫米级的间距重新排列，机械关节发出的恐怖摩擦声让{player_name}大气都不敢喘。",neutral,0.5
warehouse,ahua,"阿花的几根藤蔓正悄悄顺着排风口向库房外延伸，不知是在吸收外界阳光，还是在给大楼外围的神秘同伙传递实物情报。这疑似里应外合的间谍举动让目击的{player_name}心头一紧。",negative,1.0
warehouse,ahua,"阿花正用一根极细的刺，把某种不明绿色液体注入即将发往总部的密封货物中。不知是给植物打营养液，还是在进行令人发指的生化投毒。这疑似恐怖破坏的画面被{player_name}抓了个正着。",negative,1.0
warehouse,ahua,"阿花把耳朵贴在冷库厚重的钢铁大门上，闭着眼睛似乎在倾听什么。不知是在听压缩机有没有故障，还是在窃听经理藏在里面的秘密对话。这疑似刺探机密的反常举动引起了{player_name}的怀疑。",negative,1.0
warehouse,ahua,"阿花在没有窗户的昏暗库房里，给自己搬来了一台巨大的高功率植物补光灯，像个诡异的绿色邪教神明一样在里面做光合作用，把一开门的{player_name}吓得差点报警。",neutral,0.5
warehouse,ahua,"阿花正把一叠过期发霉的公司财务报表喂给桌上一盆巨大的食人花，还温柔地嘱咐它“多吃点”。这毁尸灭迹又荒诞的画面让路过的{player_name}胃部一阵不适。",neutral,0.5
warehouse,xiaoli,"小李正趴在货架底部的阴影里疯狂刨土，不知是在寻找掉落的硬币，还是在挖掘一条通往大楼外部的走私或逃生暗道。这鬼鬼祟祟的举动被经过的{player_name}看个真切。",negative,1.0
warehouse,xiaoli,"小李拿着一个微型手电筒，正对着一批报废电脑的硬盘条形码疯狂拍照。不知他是真的在清点废品，还是在暗中收集倒卖公司数据的线索。这疑似盗窃机密的行为让{player_name}起了疑心。",negative,1.0
warehouse,xiaoli,"小李正对着一群仓库里的变异老鼠发出极其规律的“吱吱”声，不知是在发神经，还是在利用老鼠大军往外运送微型窃听器。这充满诡异谍战色彩的画面刚好被{player_name}撞见。",negative,1.0
warehouse,xiaoli,"小李为了磨牙，正抱着一个坚硬的实木托盘啃得木屑横飞，整个人看起来既可悲又疯癫，把正准备推车的{player_name}看呆了。",neutral,0.5
warehouse,xiaoli,"小李在废旧纸箱堆里用几根蜡烛和经理的照片搭了一个极其简陋的“祈福神龛”，正虔诚地磕头求加工资。这扭曲的职场邪教仪式让{player_name}感到一阵无语。",neutral,0.5
warehouse,dazhuang,"大壮正徒手撕开一个标着“极度危险：高管特批”的钛合金保险箱，不知他是以为里面装了高级口粮，还是企图窃取最高级别的机密武器。这疑似暴力窃密的举动把刚进来的{player_name}吓得屏住呼吸。",negative,1.0
warehouse,dazhuang,"大壮端着一桶剧毒的工业清洗剂正往嘴里倒，不知他是真的没常识，还是想借机销毁某种泡在清洗剂里的致命证据。这疑似灭口的野蛮操作偏偏被{player_name}全程目击。",negative,1.0
warehouse,dazhuang,"大壮觉得墙上的监控摄像头太刺眼，直接抓起一把扳手把摄像头砸了个稀巴烂。不知他是嫌烦，还是在为即将到来的非法交易清空视野。这极其嚣张的破坏监控行为让{player_name}冷汗直冒。",negative,1.0
warehouse,dazhuang,"大壮正把一辆载满钢材的重型叉车当成举重器械，在过道里吭哧吭哧地做深蹲，地板被踩得轰轰作响，逼得{player_name}只能贴着墙根溜走。",neutral,0.5
warehouse,dazhuang,"大壮把一大袋工业防震用的泡沫塑料颗粒当成了爆米花，大把大把地塞进嘴里嚼得嘎吱作响，这种毫无常识的干饭行为让{player_name}看傻了眼。",neutral,0.5
warehouse,player,"{player_name}正拿着一个散发着紫光的紫外线手电筒在地上乱照，不知是在找隐形眼镜，还是在追踪某种带有荧光标记的暗杀血迹。这极其专业的特工搜证动作，恰好引起了背后同事充满防备的目光。",negative,1.0
warehouse,player,"{player_name}手里紧紧攥着一个从破裂货箱里掉出来的无标签玻璃试管，不知是打算帮忙清理垃圾，还是企图窃取公司的生化样本。这疑似窃密的敏感瞬间，刚好撞上了对面同事探究的眼神。",negative,1.0
warehouse,player,"{player_name}正对着仓库的电子货运单终端一顿盲打输入，不知是在更新库存，还是在利用后台漏洞篡改敏感物资的去向。这带有黑客嫌疑的危险操作，恰好被一旁推车的同事尽收眼底。",negative,1.0
warehouse,player,"{player_name}用成堆的废弃纸箱给自己搭了一个隐蔽的堡垒，正舒舒服服地躺在里面躲避劳动，结果堡垒突然坍塌，刚好和站在外面视察的同事四目相对。",neutral,0.5
warehouse,player,"{player_name}为了发泄对经理的不满，正把一个画着八爪鱼的沙袋吊在货架上疯狂输出，结果沙袋反弹回来把自己砸飞了。这滑稽又心酸的社畜崩溃瞬间，刚好被路过的同事全程围观。",neutral,0.5
pantry,laowang,"老王正把一瓶散发着尸臭的浑浊液体倒进公共饮水机里。不知他是在添加自己的“祖传养生茶”，还是在对全公司的水源进行大规模生化投毒。这极其致命的举动被刚好来接水的{player_name}撞个正着。",negative,1.0
pantry,laowang,"老王把微波炉的定时器拧到了九十分钟，里面放着一张闪烁着金属光泽的光盘。不知他是真的老糊涂了，还是企图利用微波电磁脉冲销毁机密数据盘。这疑似销毁罪证的一幕让{player_name}心跳骤停。",negative,1.0
pantry,laowang,"老王正趴在垃圾桶边缘，用镊子小心翼翼地夹起经理喝过的咖啡纸杯。不知他是穷疯了想捡破烂，还是在提取高层的DNA和毒物残留。这极具刑侦搜证色彩的画面落在了{player_name}眼里。",negative,1.0
pantry,laowang,"老王为了蹭公司的冷气，把自己折叠成了极其扭曲的形状，硬生生塞进了茶水间的双开门冰箱里呼呼大睡，把一开门打算拿饮料的{player_name}吓得差点灵魂出窍。",neutral,0.5
pantry,laowang,"老王给自己泡了一杯滚烫的枸杞茶，然后极其自然地掰下自己的一根枯骨手指当成搅拌棒在杯子里搅和，这令人反胃的硬核养生法把{player_name}恶心得够呛。",neutral,0.5
pantry,zhoujie,"周姐的机械臂正死死卡在自动贩卖机的出货口，指尖闪烁着数据破解的蓝光。不知她是为了逃单偷拿饮料，还是在通过物联网接口黑入公司的内网系统。这带有骇客嫌疑的操作被{player_name}尽收眼底。",negative,1.0
pantry,zhoujie,"周姐正用液压钳把一颗不明药丸碾成粉末，然后若无其事地扫进了公用的白糖罐里。不知这是她的金属润滑剂，还是某种慢性致死毒药。这疑似无差别暗杀的举动让{player_name}冷汗直冒。",negative,1.0
pantry,zhoujie,"周姐把自己的电子眼贴在茶水间的通风口栅栏上，疯狂调整焦距。不知是在检查灰尘，还是在偷窥隔壁高管会议室的绝密投影。这疑似隔墙窃取机密的一幕刚好被走近的{player_name}发现。",negative,1.0
pantry,zhoujie,"周姐直接把粗大的充电电缆插进了微波炉的高压插座里，导致整个茶水间弥漫着一股臭氧和烧焦塑料的混合气味，空气里噼啪作响的静电把{player_name}逼退了三步。",neutral,0.5
pantry,zhoujie,"周姐正用极其恐怖的精准度，把茶水间的几百包速溶咖啡按照克重误差不超过0.01克的标准重新排列，一旦{player_name}走近，她的机械颈椎就会发出警告的咔咔声。",neutral,0.5
pantry,ahua,"阿花正用手指捏碎一朵颜色极其鲜艳的毒蘑菇，把汁液滴进别人存放的便当盒里。不知是在给食物“增鲜”，还是在执行精确的投毒暗杀。这让人毛骨悚然的动作被{player_name}抓了现行。",negative,1.0
pantry,ahua,"阿花对着茶水间角落里的一团发霉真菌窃窃私语，那团真菌竟然还在微微有节奏地颤动。不知是她特殊的跨物种交流癖好，还是在利用变异孢子网络向外传递情报。这诡异的间谍嫌疑让{player_name}起了疑心。",negative,1.0
pantry,ahua,"阿花把几颗不知名的种子顺着下水道口扔了进去，种子遇水瞬间开始疯狂膨胀。不知她是在丢弃垃圾，还是企图用变异植物破坏大楼的地下管道结构。这疑似物理破坏安保的画面被{player_name}撞见。",negative,1.0
pantry,ahua,"阿花因为贪图茶水间微波炉泄露的辐射线，正像晒太阳一样趴在微波炉顶上做着极其享受的光合作用，整个人散发着诡异的荧光，把路过的{player_name}吓得不敢靠近。",neutral,0.5
pantry,ahua,"阿花一边甜美地哼着歌，一边抓起茶水间用来装咖啡的塑料一次性纸杯，像吃薯片一样嘎嘣嘎嘣嚼得粉碎，这离谱的异食癖把{player_name}看呆了。",neutral,0.5
pantry,xiaoli,"小李正撅着屁股试图钻进茶水间顶部的空调排气扇里。不知他是在逃避打扫卫生的工作，还是在建立一条用来潜行和窃听的通风管道网络。这经典的特工潜入动作恰好被{player_name}看了个真切。",negative,1.0
pantry,xiaoli,"小李把一块嚼过的口香糖黏在了公共餐桌的最底端，里面似乎包裹着一个微小的黑色金属物。不知他只是素质低下，还是在安装微型窃听器。这疑似安放间谍设备的举动引起了{player_name}的极度警觉。",negative,1.0
pantry,xiaoli,"小李拿着一个小本子，正在对着茶水间“员工零食消耗登记表”疯狂抄写。不知他是抠门到极致，还是在通过饮食规律分析所有人的行动轨迹和健康状况。这疑似搜集情报的变态行为让{player_name}倒吸一口凉气。",negative,1.0
pantry,xiaoli,"小李为了磨快自己发黄的鼠牙，正抱着茶水间的不锈钢桌腿狂啃，把一根好好的桌腿啃得像被狗啃过的骨头一样，让端着泡面的{player_name}一阵无语。",neutral,0.5
