tone,template,template_active,template_passive,affinity_delta,suspicion_delta
suspicious,{a}在{task}时突然回头，正好抓到{b}在背后用极其冰冷的眼神死盯着自己。,我在{task}时突然回头，抓到{other}在背后死死盯着我，他想杀我？,{other}在{task}时猛地回头瞪我，难道他发现我在暗中观察他了？,-4,6
suspicious,{a}注意到{b}在{task}时竟然把废弃的咖啡渣藏进口袋，怀疑这是什么新型毒药原料。,我注意到{other}在{task}时把咖啡渣藏了起来，他绝对在配置毒药。,{other}连我捡点垃圾都要死死盯着，这家伙控制欲太可怕了。,-2,4
tense,{a}在{task}时故意把带着生锈钉子的废木板踢到{b}脚下，双方差点动手。,我在{task}时故意把带钉子的木板踢给{other}，看他敢不敢发作。,{other}在{task}时居然拿带钉子的木板暗算我，这梁子结大了！,-5,3
tense,{a}和{b}在{task}时因为抢夺唯一一把没有漏电的工具，把桌子都掀翻了。,我和{other}为了抢一把安全的工具把桌子掀了，我绝对不会让他如愿。,{other}这疯子为了抢工具居然把桌子掀了，简直不可理喻！,-5,2
tense,{a}在{task}时全程重重地摔砸文件，用极其暴躁的噪音对{b}进行精神施压。,我在{task}时故意摔砸东西制造噪音，就是要让{other}精神崩溃。,{other}在{task}时全程摔摔打打发神经，真想用胶带封住他的脸。,-4,2
tense,{a}突然逼近{b}，用极具压迫感的姿势命令{b}独立完成{task}最危险的部分。,我逼着{other}去干{task}里最要命的活儿，不服他也得憋着。,{other}居然敢威胁我去送死做最危险的部分，今晚他最好别睡太死。,-6,4
tense,{a}在{task}时当着{b}的面，把两人刚做好的报告扔进了粉碎机，气氛瞬间降至冰点。,我当着{other}的面把报告塞进了粉碎机，他那张气急败坏的脸真好看。,{other}这神经病居然毁了我们一起做的报告，我想当场掐断他的脖子。,-6,3
tense,{a}一边做{task}，一边在手里把玩着一把带血的手术刀，死死盯着{b}的后颈。,我一边做{task}一边把玩手术刀盯着{other}，欣赏他的恐慌。,{other}在{task}时拿着刀在背后盯着我，我随时准备反击。,-4,5
tense,{a}冷笑着威胁{b}，如果{task}完不成，就向经理举报{b}是卧底。,我拿卧底的罪名威胁{other}赶紧干活，他气得咬牙切齿。,{other}居然敢拿举报卧底来要挟我干活，必须赶在他之前弄死他。,-6,5
tense,{a}在{task}时故意打翻了一杯滚烫的机油，险些泼在{b}的腿上，双方剑拔弩张。,我假装手滑打翻了滚烫的机油去泼{other}，可惜被他躲开了。,{other}装都不装了，居然用热机油泼我，我要宰了他！,-5,4
tense,{a}和{b}在{task}时互相推搡，都在试图把站在高处边缘的对方挤下去。,我和{other}在{task}时互相下黑手，我恨不得直接把他推下去摔死。,{other}在{task}时居然想把我推下高台，这仇不共戴天。,-5,3
tense,{a}在{task}结束时，压低声音警告{b}以后走路最好小心背后。,我在{task}结束时警告{other}走路小心背后，让他好好尝尝恐惧。,{other}做完{task}居然敢死亡威胁我，先下手为强才是王道。,-5,4
